"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"49000","Utah",57159,61503,65525,70550,74191,76711,80130,86495,94876,106308,116019,116615,114525,119037,125497,129012,134922,140565,147108
"50000","Vermont",15529,16119,17141,18265,19172,20073,21232,22538,23483,24251,24759,25303,25222,26406,27565,28146,28611,29662,30401
"51000","Virginia",218905,233908,251671,269194,284595,292387,309648,330412,358730,378445,391842,399479,409823,423506,431961,444528,451877,462243,479809
"53000","Washington",194856,211448,230725,239942,240894,249942,260027,271676,296731,315723,343339,352922,351316,362114,372287,390154,402789,422767,443665
"54000","West Virginia",38677,39793,41720,42497,43700,45086,46471,49409,53331,56748,58564,62175,63485,66961,70891,70915,72763,74433,73741
"55000","Wisconsin",155603,164337,173789,181874,188164,195546,204649,216716,226963,236444,243982,245197,245815,253801,263635,273880,281549,293341,305795
"56000","Wyoming",14760,14909,15721,17324,18809,19268,21251,23705,27748,33049,36763,43285,37214,39093,41578,39909,40457,40876,38624
"91000","New England",490603,516010,543601,590038,607453,623692,651127,692378,723206,758826,795221,798476,792748,819346,839018,868835,883083,917171,951898
"Legend / Footnotes:"
"Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS)."
"Note-- Per capita real GDP statistics for 1997-2015 reflect Census Bureau midyear population estimates for 1997-2014 available as of December 2014.  Population estimates for 2015 are derived from the quarterly state population estimates produced by BEA based on unpublished Census Bureau data."
"Last updated: June 14, 2016 -- revised statistics for 2008-2014 (estimates in current dollars), 1997-2014 (estimates in chained [2009] dollars); new advance statistics for 2015."
