"state","year","gdp"
"Indiana",1967,20951
"Iowa",1967,10617
"Kansas",1967,7760
"Kentucky",1967,11041
"Louisiana",1967,14022
"Maine",1967,3154
"Maryland",1967,14319
"Massachusetts",1967,23275
"Michigan",1967,40025
"Minnesota",1967,14616
"Mississippi",1967,5652
"Missouri",1967,17843
"Montana",1967,2362
"Nebraska",1967,5486
"Nevada",1967,2248
"New Hampshire",1967,2370
"New Jersey",1967,30976
"New Mexico",1967,3514
"New York",1967,92078
"North Carolina",1967,17155
"North Dakota",1967,1874
"Ohio",1967,44420
"Oklahoma",1967,8087
"Oregon",1967,7639
"Pennsylvania",1967,46515
"Rhode Island",1967,3631
"South Carolina",1967,7381
"South Dakota",1967,1960
"Tennessee",1967,12598
"Texas",1967,39907
"Utah",1967,3488
"Vermont",1967,1505
"Virginia",1967,15925
"Washington",1967,15659
"West Virginia",1967,5825
"Wisconsin",1967,16841
"Wyoming",1967,1541
"New England",1967,47530
"United States",1968,887569
"Alabama",1968,10977
"Alaska",1968,1899
"Arizona",1968,6593
"Arkansas",1968,5704
"California",1968,98721
"Colorado",1968,8540
"Connecticut",1968,14303
"Delaware",1968,2884
"District of Columbia",1968,7749
"Florida",1968,23793
"Georgia",1968,16424
"Hawaii",1968,3722
"Idaho",1968,2497
"Illinois",1968,56331
"Indiana",1968,22646
"Iowa",1968,11273
"Kansas",1968,8487
"Kentucky",1968,12212
"Louisiana",1968,15076
"Maine",1968,3406
"Maryland",1968,15852
"Massachusetts",1968,25226
"Michigan",1968,44727
"Minnesota",1968,16149
"Mississippi",1968,6267
"Missouri",1968,19711
"Montana",1968,2531
"Nebraska",1968,5823
"Nevada",1968,2549
"New Hampshire",1968,2596
"New Jersey",1968,33657
"New Mexico",1968,3806
"New York",1968,99817
"North Carolina",1968,18962
"North Dakota",1968,1958
"Ohio",1968,48696
"Oklahoma",1968,8836
"Oregon",1968,8528
"Pennsylvania",1968,49957
"Rhode Island",1968,3912
"South Carolina",1968,8170
"South Dakota",1968,2093
"Tennessee",1968,13974
"Texas",1968,44484
"Utah",1968,3724
"Vermont",1968,1628
"Virginia",1968,17693
"Washington",1968,17014
"West Virginia",1968,6091
"Wisconsin",1968,18226
"Wyoming",1968,1671
"New England",1968,51070
"United States",1969,962902
"Alabama",1969,11866
"Alaska",1969,2073
"Arizona",1969,7563
"Arkansas",1969,6232
"California",1969,106629
"Colorado",1969,9480
"Connecticut",1969,15627
"Delaware",1969,3069
"District of Columbia",1969,8096
"Florida",1969,27427
"Georgia",1969,18082
"Hawaii",1969,4262
"Idaho",1969,2750
"Illinois",1969,60840
"Indiana",1969,24212
"Iowa",1969,12332
"Kansas",1969,9166
"Kentucky",1969,13206
"Louisiana",1969,16321
"Maine",1969,3695
"Maryland",1969,17385
"Massachusetts",1969,27476
"Michigan",1969,47894
"Minnesota",1969,17681
"Mississippi",1969,6801
"Missouri",1969,21095
"Montana",1969,2761
"Nebraska",1969,6537
"Nevada",1969,2947
"New Hampshire",1969,2817
"New Jersey",1969,35852
"New Mexico",1969,4091
"New York",1969,107031
"North Carolina",1969,20882
"North Dakota",1969,2178
"Ohio",1969,52817
"Oklahoma",1969,9622
"Oregon",1969,9353
"Pennsylvania",1969,54486
"Rhode Island",1969,4113
"South Carolina",1969,8874
"South Dakota",1969,2273
"Tennessee",1969,15167
"Texas",1969,48575
"Utah",1969,4036
"Vermont",1969,1798
"Virginia",1969,19638
"Washington",1969,18091
"West Virginia",1969,6381
"Wisconsin",1969,19521
"Wyoming",1969,1801
"New England",1969,55525
"United States",1970,1012299
"Alabama",1970,12475
"Alaska",1970,2359
"Arizona",1970,8569
"Arkansas",1970,6667
"California",1970,111985
