"state","period","measure","unempl_rate"
"Utah","Aug 1984","seasonally adjusted","6.3"
"Vermont","Aug 1984","seasonally adjusted","4.8"
"Virginia","Aug 1984","seasonally adjusted","5.1"
"Washington","Aug 1984","seasonally adjusted","9"
"West Virginia","Aug 1984","seasonally adjusted","14.4"
"Wisconsin","Aug 1984","seasonally adjusted","7.2"
"Wyoming","Aug 1984","seasonally adjusted","6.2"
"Alabama","Aug 1984","not seasonally adjusted","11.3"
"Alaska","Aug 1984","not seasonally adjusted","8.1"
"Arizona","Aug 1984","not seasonally adjusted","5.5"
"Arkansas","Aug 1984","not seasonally adjusted","8.3"
"California","Aug 1984","not seasonally adjusted","7.6"
"Colorado","Aug 1984","not seasonally adjusted","5"
"Connecticut","Aug 1984","not seasonally adjusted","4.6"
"Delaware","Aug 1984","not seasonally adjusted","6.4"
"District of Columbia","Aug 1984","not seasonally adjusted","8.7"
"Florida","Aug 1984","not seasonally adjusted","6.6"
"Georgia","Aug 1984","not seasonally adjusted","6.1"
"Hawaii","Aug 1984","not seasonally adjusted","5.6"
"Idaho","Aug 1984","not seasonally adjusted","6.8"
"Illinois","Aug 1984","not seasonally adjusted","8.6"
"Indiana","Aug 1984","not seasonally adjusted","7.7"
"Iowa","Aug 1984","not seasonally adjusted","6.5"
"Kansas","Aug 1984","not seasonally adjusted","5"
"Kentucky","Aug 1984","not seasonally adjusted","8.7"
"Louisiana","Aug 1984","not seasonally adjusted","10.3"
"Maine","Aug 1984","not seasonally adjusted","5.1"
"Maryland","Aug 1984","not seasonally adjusted","5.3"
"Massachusetts","Aug 1984","not seasonally adjusted","4.4"
"Michigan","Aug 1984","not seasonally adjusted","10.7"
"Minnesota","Aug 1984","not seasonally adjusted","5.7"
"Mississippi","Aug 1984","not seasonally adjusted","11.3"
"Missouri","Aug 1984","not seasonally adjusted","6.9"
"Montana","Aug 1984","not seasonally adjusted","6.9"
"Nebraska","Aug 1984","not seasonally adjusted","3.9"
"Nevada","Aug 1984","not seasonally adjusted","7.8"
"New Hampshire","Aug 1984","not seasonally adjusted","4.1"
"New Jersey","Aug 1984","not seasonally adjusted","6"
"New Mexico","Aug 1984","not seasonally adjusted","7.8"
"New York","Aug 1984","not seasonally adjusted","7.3"
"North Carolina","Aug 1984","not seasonally adjusted","6.8"
"North Dakota","Aug 1984","not seasonally adjusted","4.8"
"Ohio","Aug 1984","not seasonally adjusted","8.9"
"Oklahoma","Aug 1984","not seasonally adjusted","7.1"
"Oregon","Aug 1984","not seasonally adjusted","8.5"
"Pennsylvania","Aug 1984","not seasonally adjusted","8.7"
"Rhode Island","Aug 1984","not seasonally adjusted","4.4"
"South Carolina","Aug 1984","not seasonally adjusted","7.1"
"South Dakota","Aug 1984","not seasonally adjusted","4"
"Tennessee","Aug 1984","not seasonally adjusted","8.5"
"Texas","Aug 1984","not seasonally adjusted","6"
"Utah","Aug 1984","not seasonally adjusted","6.4"
"Vermont","Aug 1984","not seasonally adjusted","4.1"
"Virginia","Aug 1984","not seasonally adjusted","5"
"Washington","Aug 1984","not seasonally adjusted","8.6"
"West Virginia","Aug 1984","not seasonally adjusted","13.8"
"Wisconsin","Aug 1984","not seasonally adjusted","6.5"
"Wyoming","Aug 1984","not seasonally adjusted","5.2"
"Alabama","Sep 1984","seasonally adjusted","10.7"
"Alaska","Sep 1984","seasonally adjusted","9.6"
"Arizona","Sep 1984","seasonally adjusted","5"
"Arkansas","Sep 1984","seasonally adjusted","8.6"
"California","Sep 1984","seasonally adjusted","7.6"
"Colorado","Sep 1984","seasonally adjusted","5.6"
"Connecticut","Sep 1984","seasonally adjusted","4.6"
"Delaware","Sep 1984","seasonally adjusted","6.3"
"District of Columbia","Sep 1984","seasonally adjusted","8.6"
"Florida","Sep 1984","seasonally adjusted","6.2"
"Georgia","Sep 1984","seasonally adjusted","6.1"
"Hawaii","Sep 1984","seasonally adjusted","5.7"
"Idaho","Sep 1984","seasonally adjusted","7.4"
"Illinois","Sep 1984","seasonally adjusted","8.8"
"Indiana","Sep 1984","seasonally adjusted","8.2"
"Iowa","Sep 1984","seasonally adjusted","7"
"Kansas","Sep 1984","seasonally adjusted","4.8"
"Kentucky","Sep 1984","seasonally adjusted","8.9"
"Louisiana","Sep 1984","seasonally adjusted","10.3"
"Maine","Sep 1984","seasonally adjusted","5.9"
"Maryland","Sep 1984","seasonally adjusted","5.3"
"Massachusetts","Sep 1984","seasonally adjusted","4.4"
"Michigan","Sep 1984","seasonally adjusted","10.9"
"Minnesota","Sep 1984","seasonally adjusted","5.9"
"Mississippi","Sep 1984","seasonally adjusted","10.6"
"Missouri","Sep 1984","seasonally adjusted","6.6"
"Montana","Sep 1984","seasonally adjusted","7.4"
"Nebraska","Sep 1984","seasonally adjusted","4.4"
"Nevada","Sep 1984","seasonally adjusted","8"
"New Hampshire","Sep 1984","seasonally adjusted","4.3"
"New Jersey","Sep 1984","seasonally adjusted","6"
"New Mexico","Sep 1984","seasonally adjusted","7.9"
"New York","Sep 1984","seasonally adjusted","7.2"
"North Carolina","Sep 1984","seasonally adjusted","6.9"
"North Dakota","Sep 1984","seasonally adjusted","5.4"
"Ohio","Sep 1984","seasonally adjusted","9.2"
"Oklahoma","Sep 1984","seasonally adjusted","7"
"Oregon","Sep 1984","seasonally adjusted","9.3"
"Pennsylvania","Sep 1984","seasonally adjusted","8.9"
"Rhode Island","Sep 1984","seasonally adjusted","5"
"South Carolina","Sep 1984","seasonally adjusted","6.8"
"South Dakota","Sep 1984","seasonally adjusted","4.4"
"Tennessee","Sep 1984","seasonally adjusted","8.3"
"Texas","Sep 1984","seasonally adjusted","5.9"
"Utah","Sep 1984","seasonally adjusted","6.3"
"Vermont","Sep 1984","seasonally adjusted","4.7"
"Virginia","Sep 1984","seasonally adjusted","5.1"
"Washington","Sep 1984","seasonally adjusted","9"
"West Virginia","Sep 1984","seasonally adjusted","14.4"
"Wisconsin","Sep 1984","seasonally adjusted","7"
"Wyoming","Sep 1984","seasonally adjusted","6.3"
"Alabama","Sep 1984","not seasonally adjusted","10.8"
"Alaska","Sep 1984","not seasonally adjusted","8.5"
"Arizona","Sep 1984","not seasonally adjusted","5.2"
"Arkansas","Sep 1984","not seasonally adjusted","7.9"
"California","Sep 1984","not seasonally adjusted","7.3"
"Colorado","Sep 1984","not seasonally adjusted","5.1"
"Connecticut","Sep 1984","not seasonally adjusted","4.3"
"Delaware","Sep 1984","not seasonally adjusted","6.2"
"District of Columbia","Sep 1984","not seasonally adjusted","8.9"
"Florida","Sep 1984","not seasonally adjusted","6.7"
"Georgia","Sep 1984","not seasonally adjusted","6.1"
"Hawaii","Sep 1984","not seasonally adjusted","6"
"Idaho","Sep 1984","not seasonally adjusted","6.4"
"Illinois","Sep 1984","not seasonally adjusted","8.3"
"Indiana","Sep 1984","not seasonally adjusted","7.8"
"Iowa","Sep 1984","not seasonally adjusted","6.5"
"Kansas","Sep 1984","not seasonally adjusted","4.5"
"Kentucky","Sep 1984","not seasonally adjusted","8.3"
"Louisiana","Sep 1984","not seasonally adjusted","10.3"
"Maine","Sep 1984","not seasonally adjusted","5.1"
"Maryland","Sep 1984","not seasonally adjusted","5.2"
"Massachusetts","Sep 1984","not seasonally adjusted","4.4"
"Michigan","Sep 1984","not seasonally adjusted","10.3"
"Minnesota","Sep 1984","not seasonally adjusted","5.7"
"Mississippi","Sep 1984","not seasonally adjusted","10.8"
"Missouri","Sep 1984","not seasonally adjusted","6.2"
"Montana","Sep 1984","not seasonally adjusted","6.4"
"Nebraska","Sep 1984","not seasonally adjusted","3.9"
"Nevada","Sep 1984","not seasonally adjusted","8"
"New Hampshire","Sep 1984","not seasonally adjusted","4"
"New Jersey","Sep 1984","not seasonally adjusted","5.8"
"New Mexico","Sep 1984","not seasonally adjusted","7.9"
"New York","Sep 1984","not seasonally adjusted","6.9"
"North Carolina","Sep 1984","not seasonally adjusted","6.5"
"North Dakota","Sep 1984","not seasonally adjusted","4.4"
"Ohio","Sep 1984","not seasonally adjusted","8.8"
"Oklahoma","Sep 1984","not seasonally adjusted","6.9"
"Oregon","Sep 1984","not seasonally adjusted","8"
"Pennsylvania","Sep 1984","not seasonally adjusted","8.5"
"Rhode Island","Sep 1984","not seasonally adjusted","4.7"
"South Carolina","Sep 1984","not seasonally adjusted","6.8"
"South Dakota","Sep 1984","not seasonally adjusted","4"
"Tennessee","Sep 1984","not seasonally adjusted","7.8"
"Texas","Sep 1984","not seasonally adjusted","5.9"
"Utah","Sep 1984","not seasonally adjusted","5.8"
"Vermont","Sep 1984","not seasonally adjusted","4.3"
"Virginia","Sep 1984","not seasonally adjusted","5"
"Washington","Sep 1984","not seasonally adjusted","8.2"
"West Virginia","Sep 1984","not seasonally adjusted","13.4"
"Wisconsin","Sep 1984","not seasonally adjusted","6.2"
"Wyoming","Sep 1984","not seasonally adjusted","5.2"
"Alabama","Oct 1984","seasonally adjusted","10.5"
"Alaska","Oct 1984","seasonally adjusted","9.6"
"Arizona","Oct 1984","seasonally adjusted","5.2"
"Arkansas","Oct 1984","seasonally adjusted","8.6"
"California","Oct 1984","seasonally adjusted","7.5"
"Colorado","Oct 1984","seasonally adjusted","5.6"
"Connecticut","Oct 1984","seasonally adjusted","4.6"
"Delaware","Oct 1984","seasonally adjusted","6.2"
"District of Columbia","Oct 1984","seasonally adjusted","8.6"
"Florida","Oct 1984","seasonally adjusted","6.2"
"Georgia","Oct 1984","seasonally adjusted","6.1"
"Hawaii","Oct 1984","seasonally adjusted","5.8"
"Idaho","Oct 1984","seasonally adjusted","7.4"
"Illinois","Oct 1984","seasonally adjusted","8.8"
"Indiana","Oct 1984","seasonally adjusted","8.3"
"Iowa","Oct 1984","seasonally adjusted","7.1"
"Kansas","Oct 1984","seasonally adjusted","4.8"
"Kentucky","Oct 1984","seasonally adjusted","8.8"
"Louisiana","Oct 1984","seasonally adjusted","10.5"
"Maine","Oct 1984","seasonally adjusted","5.8"
"Maryland","Oct 1984","seasonally adjusted","5.2"
"Massachusetts","Oct 1984","seasonally adjusted","4.3"
"Michigan","Oct 1984","seasonally adjusted","10.9"
"Minnesota","Oct 1984","seasonally adjusted","5.9"
"Mississippi","Oct 1984","seasonally adjusted","10.6"
"Missouri","Oct 1984","seasonally adjusted","6.6"
"Montana","Oct 1984","seasonally adjusted","7.4"
"Nebraska","Oct 1984","seasonally adjusted","4.4"
"Nevada","Oct 1984","seasonally adjusted","8"
"New Hampshire","Oct 1984","seasonally adjusted","4.3"
"New Jersey","Oct 1984","seasonally adjusted","5.9"
"New Mexico","Oct 1984","seasonally adjusted","8.1"
"New York","Oct 1984","seasonally adjusted","7.1"
"North Carolina","Oct 1984","seasonally adjusted","6.9"
"North Dakota","Oct 1984","seasonally adjusted","5.4"
"Ohio","Oct 1984","seasonally adjusted","9.1"
"Oklahoma","Oct 1984","seasonally adjusted","7.1"
"Oregon","Oct 1984","seasonally adjusted","9.3"
"Pennsylvania","Oct 1984","seasonally adjusted","8.8"
"Rhode Island","Oct 1984","seasonally adjusted","5"
"South Carolina","Oct 1984","seasonally adjusted","6.8"
"South Dakota","Oct 1984","seasonally adjusted","4.5"
"Tennessee","Oct 1984","seasonally adjusted","8.1"
"Texas","Oct 1984","seasonally adjusted","6"
"Utah","Oct 1984","seasonally adjusted","6.3"
"Vermont","Oct 1984","seasonally adjusted","4.7"
"Virginia","Oct 1984","seasonally adjusted","5.2"
"Washington","Oct 1984","seasonally adjusted","8.9"
"West Virginia","Oct 1984","seasonally adjusted","14.5"
"Wisconsin","Oct 1984","seasonally adjusted","7"
"Wyoming","Oct 1984","seasonally adjusted","6.3"
"Alabama","Oct 1984","not seasonally adjusted","10.2"
"Alaska","Oct 1984","not seasonally adjusted","8.7"
"Arizona","Oct 1984","not seasonally adjusted","5.4"
"Arkansas","Oct 1984","not seasonally adjusted","7.8"
"California","Oct 1984","not seasonally adjusted","7.2"
"Colorado","Oct 1984","not seasonally adjusted","5.1"
"Connecticut","Oct 1984","not seasonally adjusted","4.1"
"Delaware","Oct 1984","not seasonally adjusted","5.9"
"District of Columbia","Oct 1984","not seasonally adjusted","8.5"
"Florida","Oct 1984","not seasonally adjusted","6.4"
"Georgia","Oct 1984","not seasonally adjusted","6.1"
"Hawaii","Oct 1984","not seasonally adjusted","5.8"
"Idaho","Oct 1984","not seasonally adjusted","6.4"
"Illinois","Oct 1984","not seasonally adjusted","8.5"
"Indiana","Oct 1984","not seasonally adjusted","8"
"Iowa","Oct 1984","not seasonally adjusted","6.4"
"Kansas","Oct 1984","not seasonally adjusted","4.6"
"Kentucky","Oct 1984","not seasonally adjusted","8.1"
"Louisiana","Oct 1984","not seasonally adjusted","10.3"
"Maine","Oct 1984","not seasonally adjusted","5"
"Maryland","Oct 1984","not seasonally adjusted","5.1"
"Massachusetts","Oct 1984","not seasonally adjusted","3.7"
"Michigan","Oct 1984","not seasonally adjusted","10.4"
"Minnesota","Oct 1984","not seasonally adjusted","5.2"
"Mississippi","Oct 1984","not seasonally adjusted","10.1"
"Missouri","Oct 1984","not seasonally adjusted","5.9"
"Montana","Oct 1984","not seasonally adjusted","6.6"
"Nebraska","Oct 1984","not seasonally adjusted","3.9"
"Nevada","Oct 1984","not seasonally adjusted","7.6"
"New Hampshire","Oct 1984","not seasonally adjusted","3.9"
"New Jersey","Oct 1984","not seasonally adjusted","5.5"
"New Mexico","Oct 1984","not seasonally adjusted","7.6"
"New York","Oct 1984","not seasonally adjusted","6.8"
"North Carolina","Oct 1984","not seasonally adjusted","6.7"
"North Dakota","Oct 1984","not seasonally adjusted","4.4"
"Ohio","Oct 1984","not seasonally adjusted","8.8"
"Oklahoma","Oct 1984","not seasonally adjusted","6.9"
"Oregon","Oct 1984","not seasonally adjusted","8.7"
"Pennsylvania","Oct 1984","not seasonally adjusted","8.4"
"Rhode Island","Oct 1984","not seasonally adjusted","4.9"
"South Carolina","Oct 1984","not seasonally adjusted","6.8"
"South Dakota","Oct 1984","not seasonally adjusted","3.9"
"Tennessee","Oct 1984","not seasonally adjusted","7.8"
"Texas","Oct 1984","not seasonally adjusted","5.8"
"Utah","Oct 1984","not seasonally adjusted","6.1"
"Vermont","Oct 1984","not seasonally adjusted","3.9"
"Virginia","Oct 1984","not seasonally adjusted","4.9"
"Washington","Oct 1984","not seasonally adjusted","8.1"
"West Virginia","Oct 1984","not seasonally adjusted","14.1"
"Wisconsin","Oct 1984","not seasonally adjusted","6.2"
"Wyoming","Oct 1984","not seasonally adjusted","5.5"
"Alabama","Nov 1984","seasonally adjusted","10.3"
"Alaska","Nov 1984","seasonally adjusted","9.5"
"Arizona","Nov 1984","seasonally adjusted","5.4"
"Arkansas","Nov 1984","seasonally adjusted","8.6"
"California","Nov 1984","seasonally adjusted","7.4"
"Colorado","Nov 1984","seasonally adjusted","5.7"
"Connecticut","Nov 1984","seasonally adjusted","4.7"
"Delaware","Nov 1984","seasonally adjusted","6.1"
"District of Columbia","Nov 1984","seasonally adjusted","8.5"
"Florida","Nov 1984","seasonally adjusted","6.2"
"Georgia","Nov 1984","seasonally adjusted","6.1"
"Hawaii","Nov 1984","seasonally adjusted","5.8"
"Idaho","Nov 1984","seasonally adjusted","7.4"
"Illinois","Nov 1984","seasonally adjusted","8.9"
"Indiana","Nov 1984","seasonally adjusted","8.4"
"Iowa","Nov 1984","seasonally adjusted","7.2"
"Kansas","Nov 1984","seasonally adjusted","4.8"
"Kentucky","Nov 1984","seasonally adjusted","8.7"
"Louisiana","Nov 1984","seasonally adjusted","10.7"
"Maine","Nov 1984","seasonally adjusted","5.8"
"Maryland","Nov 1984","seasonally adjusted","5.1"
"Massachusetts","Nov 1984","seasonally adjusted","4.2"
"Michigan","Nov 1984","seasonally adjusted","10.8"
"Minnesota","Nov 1984","seasonally adjusted","5.9"
"Mississippi","Nov 1984","seasonally adjusted","10.5"
"Missouri","Nov 1984","seasonally adjusted","6.7"
"Montana","Nov 1984","seasonally adjusted","7.3"
"Nebraska","Nov 1984","seasonally adjusted","4.5"
"Nevada","Nov 1984","seasonally adjusted","8"
"New Hampshire","Nov 1984","seasonally adjusted","4.3"
"New Jersey","Nov 1984","seasonally adjusted","5.8"
"New Mexico","Nov 1984","seasonally adjusted","8.2"
"New York","Nov 1984","seasonally adjusted","7"
"North Carolina","Nov 1984","seasonally adjusted","6.8"
"North Dakota","Nov 1984","seasonally adjusted","5.5"
"Ohio","Nov 1984","seasonally adjusted","9.1"
"Oklahoma","Nov 1984","seasonally adjusted","7.1"
"Oregon","Nov 1984","seasonally adjusted","9.4"
"Pennsylvania","Nov 1984","seasonally adjusted","8.6"
"Rhode Island","Nov 1984","seasonally adjusted","5"
"South Carolina","Nov 1984","seasonally adjusted","6.7"
"South Dakota","Nov 1984","seasonally adjusted","4.5"
"Tennessee","Nov 1984","seasonally adjusted","8"
"Texas","Nov 1984","seasonally adjusted","6.2"
"Utah","Nov 1984","seasonally adjusted","6.3"
"Vermont","Nov 1984","seasonally adjusted","4.8"
"Virginia","Nov 1984","seasonally adjusted","5.2"
"Washington","Nov 1984","seasonally adjusted","8.9"
"West Virginia","Nov 1984","seasonally adjusted","14.6"
"Wisconsin","Nov 1984","seasonally adjusted","6.9"
"Wyoming","Nov 1984","seasonally adjusted","6.4"
"Alabama","Nov 1984","not seasonally adjusted","9.7"
"Alaska","Nov 1984","not seasonally adjusted","9.4"
"Arizona","Nov 1984","not seasonally adjusted","4.8"
"Arkansas","Nov 1984","not seasonally adjusted","7.9"
"California","Nov 1984","not seasonally adjusted","7.2"
"Colorado","Nov 1984","not seasonally adjusted","5.3"
"Connecticut","Nov 1984","not seasonally adjusted","4.3"
"Delaware","Nov 1984","not seasonally adjusted","5.3"
"District of Columbia","Nov 1984","not seasonally adjusted","8.2"
"Florida","Nov 1984","not seasonally adjusted","6.1"
"Georgia","Nov 1984","not seasonally adjusted","5.5"
"Hawaii","Nov 1984","not seasonally adjusted","5.8"
"Idaho","Nov 1984","not seasonally adjusted","7.3"
"Illinois","Nov 1984","not seasonally adjusted","8.1"
"Indiana","Nov 1984","not seasonally adjusted","8.2"
"Iowa","Nov 1984","not seasonally adjusted","6.8"
"Kansas","Nov 1984","not seasonally adjusted","4.5"
"Kentucky","Nov 1984","not seasonally adjusted","8.1"
"Louisiana","Nov 1984","not seasonally adjusted","10.1"
"Maine","Nov 1984","not seasonally adjusted","5.5"
"Maryland","Nov 1984","not seasonally adjusted","4.9"
"Massachusetts","Nov 1984","not seasonally adjusted","3.7"
"Michigan","Nov 1984","not seasonally adjusted","10.3"
"Minnesota","Nov 1984","not seasonally adjusted","5.2"
"Mississippi","Nov 1984","not seasonally adjusted","9.6"
"Missouri","Nov 1984","not seasonally adjusted","6.1"
"Montana","Nov 1984","not seasonally adjusted","7"
"Nebraska","Nov 1984","not seasonally adjusted","3.9"
"Nevada","Nov 1984","not seasonally adjusted","7.5"
"New Hampshire","Nov 1984","not seasonally adjusted","4"
"New Jersey","Nov 1984","not seasonally adjusted","5.3"
"New Mexico","Nov 1984","not seasonally adjusted","7.6"
"New York","Nov 1984","not seasonally adjusted","6.5"
"North Carolina","Nov 1984","not seasonally adjusted","6.5"
"North Dakota","Nov 1984","not seasonally adjusted","5"
"Ohio","Nov 1984","not seasonally adjusted","8.7"
"Oklahoma","Nov 1984","not seasonally adjusted","6.7"
"Oregon","Nov 1984","not seasonally adjusted","9"
"Pennsylvania","Nov 1984","not seasonally adjusted","8.3"
"Rhode Island","Nov 1984","not seasonally adjusted","4.5"
"South Carolina","Nov 1984","not seasonally adjusted","6.5"
"South Dakota","Nov 1984","not seasonally adjusted","4.3"
"Tennessee","Nov 1984","not seasonally adjusted","7.6"
"Texas","Nov 1984","not seasonally adjusted","5.8"
"Utah","Nov 1984","not seasonally adjusted","6"
"Vermont","Nov 1984","not seasonally adjusted","4.5"
"Virginia","Nov 1984","not seasonally adjusted","5"
"Washington","Nov 1984","not seasonally adjusted","8.7"
"West Virginia","Nov 1984","not seasonally adjusted","14.2"
"Wisconsin","Nov 1984","not seasonally adjusted","6.2"
"Wyoming","Nov 1984","not seasonally adjusted","6"
"Alabama","Dec 1984","seasonally adjusted","10.1"
"Alaska","Dec 1984","seasonally adjusted","9.5"
"Arizona","Dec 1984","seasonally adjusted","5.6"
"Arkansas","Dec 1984","seasonally adjusted","8.6"
"California","Dec 1984","seasonally adjusted","7.4"
"Colorado","Dec 1984","seasonally adjusted","5.7"
"Connecticut","Dec 1984","seasonally adjusted","4.8"
"Delaware","Dec 1984","seasonally adjusted","6"
"District of Columbia","Dec 1984","seasonally adjusted","8.5"
"Florida","Dec 1984","seasonally adjusted","6.1"
"Georgia","Dec 1984","seasonally adjusted","6.2"
"Hawaii","Dec 1984","seasonally adjusted","5.7"
"Idaho","Dec 1984","seasonally adjusted","7.5"
"Illinois","Dec 1984","seasonally adjusted","8.9"
"Indiana","Dec 1984","seasonally adjusted","8.4"
"Iowa","Dec 1984","seasonally adjusted","7.4"
"Kansas","Dec 1984","seasonally adjusted","4.9"
"Kentucky","Dec 1984","seasonally adjusted","8.6"
"Louisiana","Dec 1984","seasonally adjusted","10.9"
"Maine","Dec 1984","seasonally adjusted","5.7"
"Maryland","Dec 1984","seasonally adjusted","5"
"Massachusetts","Dec 1984","seasonally adjusted","4.1"
"Michigan","Dec 1984","seasonally adjusted","10.6"
"Minnesota","Dec 1984","seasonally adjusted","5.9"
"Mississippi","Dec 1984","seasonally adjusted","10.4"
"Missouri","Dec 1984","seasonally adjusted","6.7"
"Montana","Dec 1984","seasonally adjusted","7.4"
"Nebraska","Dec 1984","seasonally adjusted","4.5"
"Nevada","Dec 1984","seasonally adjusted","8"
"New Hampshire","Dec 1984","seasonally adjusted","4.3"
"New Jersey","Dec 1984","seasonally adjusted","5.7"
"New Mexico","Dec 1984","seasonally adjusted","8.2"
"New York","Dec 1984","seasonally adjusted","6.8"
"North Carolina","Dec 1984","seasonally adjusted","6.6"
"North Dakota","Dec 1984","seasonally adjusted","5.5"
"Ohio","Dec 1984","seasonally adjusted","9"
"Oklahoma","Dec 1984","seasonally adjusted","7.1"
"Oregon","Dec 1984","seasonally adjusted","9.4"
"Pennsylvania","Dec 1984","seasonally adjusted","8.5"
"Rhode Island","Dec 1984","seasonally adjusted","5"
"South Carolina","Dec 1984","seasonally adjusted","6.6"
"South Dakota","Dec 1984","seasonally adjusted","4.6"
"Tennessee","Dec 1984","seasonally adjusted","7.9"
"Texas","Dec 1984","seasonally adjusted","6.3"
"Utah","Dec 1984","seasonally adjusted","6.3"
"Vermont","Dec 1984","seasonally adjusted","4.8"
"Virginia","Dec 1984","seasonally adjusted","5.3"
"Washington","Dec 1984","seasonally adjusted","8.9"
"West Virginia","Dec 1984","seasonally adjusted","14.5"
"Wisconsin","Dec 1984","seasonally adjusted","6.9"
"Wyoming","Dec 1984","seasonally adjusted","6.3"
"Alabama","Dec 1984","not seasonally adjusted","10.1"
"Alaska","Dec 1984","not seasonally adjusted","9.3"
"Arizona","Dec 1984","not seasonally adjusted","5.3"
"Arkansas","Dec 1984","not seasonally adjusted","8.3"
"California","Dec 1984","not seasonally adjusted","7.1"
"Colorado","Dec 1984","not seasonally adjusted","5.5"
"Connecticut","Dec 1984","not seasonally adjusted","4.4"
"Delaware","Dec 1984","not seasonally adjusted","5.2"
"District of Columbia","Dec 1984","not seasonally adjusted","8"
"Florida","Dec 1984","not seasonally adjusted","5.8"
"Georgia","Dec 1984","not seasonally adjusted","5.8"
"Hawaii","Dec 1984","not seasonally adjusted","5.3"
"Idaho","Dec 1984","not seasonally adjusted","7.5"
"Illinois","Dec 1984","not seasonally adjusted","8.6"
"Indiana","Dec 1984","not seasonally adjusted","8.5"
"Iowa","Dec 1984","not seasonally adjusted","7.4"
"Kansas","Dec 1984","not seasonally adjusted","4.4"
"Kentucky","Dec 1984","not seasonally adjusted","8.2"
"Louisiana","Dec 1984","not seasonally adjusted","10.5"
"Maine","Dec 1984","not seasonally adjusted","5.5"
"Maryland","Dec 1984","not seasonally adjusted","4.8"
"Massachusetts","Dec 1984","not seasonally adjusted","3.8"
"Michigan","Dec 1984","not seasonally adjusted","10.5"
"Minnesota","Dec 1984","not seasonally adjusted","6"
"Mississippi","Dec 1984","not seasonally adjusted","9.4"
"Missouri","Dec 1984","not seasonally adjusted","6.6"
"Montana","Dec 1984","not seasonally adjusted","7.3"
"Nebraska","Dec 1984","not seasonally adjusted","4.2"
"Nevada","Dec 1984","not seasonally adjusted","7.9"
"New Hampshire","Dec 1984","not seasonally adjusted","3.9"
"New Jersey","Dec 1984","not seasonally adjusted","5.4"
"New Mexico","Dec 1984","not seasonally adjusted","7.6"
"New York","Dec 1984","not seasonally adjusted","6.5"
"North Carolina","Dec 1984","not seasonally adjusted","6.3"
"North Dakota","Dec 1984","not seasonally adjusted","5.6"
"Ohio","Dec 1984","not seasonally adjusted","8.9"
"Oklahoma","Dec 1984","not seasonally adjusted","6.7"
"Oregon","Dec 1984","not seasonally adjusted","9.5"
"Pennsylvania","Dec 1984","not seasonally adjusted","8"
"Rhode Island","Dec 1984","not seasonally adjusted","4.5"
"South Carolina","Dec 1984","not seasonally adjusted","6.5"
"South Dakota","Dec 1984","not seasonally adjusted","4.4"
"Tennessee","Dec 1984","not seasonally adjusted","7.5"
"Texas","Dec 1984","not seasonally adjusted","5.8"
"Utah","Dec 1984","not seasonally adjusted","5.9"
"Vermont","Dec 1984","not seasonally adjusted","4.4"
"Virginia","Dec 1984","not seasonally adjusted","5.1"
"Washington","Dec 1984","not seasonally adjusted","9"
"West Virginia","Dec 1984","not seasonally adjusted","14.4"
"Wisconsin","Dec 1984","not seasonally adjusted","6.5"
"Wyoming","Dec 1984","not seasonally adjusted","6.4"
"Alabama","Jan 1985","seasonally adjusted","10"
"Alaska","Jan 1985","seasonally adjusted","9.5"
"Arizona","Jan 1985","seasonally adjusted","5.8"
"Arkansas","Jan 1985","seasonally adjusted","8.6"
"California","Jan 1985","seasonally adjusted","7.3"
"Colorado","Jan 1985","seasonally adjusted","5.8"
"Connecticut","Jan 1985","seasonally adjusted","4.9"
"Delaware","Jan 1985","seasonally adjusted","5.9"
"District of Columbia","Jan 1985","seasonally adjusted","8.5"
"Florida","Jan 1985","seasonally adjusted","6.1"
"Georgia","Jan 1985","seasonally adjusted","6.3"
"Hawaii","Jan 1985","seasonally adjusted","5.6"
"Idaho","Jan 1985","seasonally adjusted","7.5"
"Illinois","Jan 1985","seasonally adjusted","8.9"
"Indiana","Jan 1985","seasonally adjusted","8.4"
"Iowa","Jan 1985","seasonally adjusted","7.4"
"Kansas","Jan 1985","seasonally adjusted","5"
"Kentucky","Jan 1985","seasonally adjusted","8.6"
"Louisiana","Jan 1985","seasonally adjusted","11"
"Maine","Jan 1985","seasonally adjusted","5.7"
"Maryland","Jan 1985","seasonally adjusted","5"
"Massachusetts","Jan 1985","seasonally adjusted","4.1"
"Michigan","Jan 1985","seasonally adjusted","10.5"
"Minnesota","Jan 1985","seasonally adjusted","5.9"
"Mississippi","Jan 1985","seasonally adjusted","10.4"
"Missouri","Jan 1985","seasonally adjusted","6.7"
"Montana","Jan 1985","seasonally adjusted","7.4"
"Nebraska","Jan 1985","seasonally adjusted","4.7"
"Nevada","Jan 1985","seasonally adjusted","8"
"New Hampshire","Jan 1985","seasonally adjusted","4.2"
"New Jersey","Jan 1985","seasonally adjusted","5.7"
"New Mexico","Jan 1985","seasonally adjusted","8.3"
"New York","Jan 1985","seasonally adjusted","6.8"
"North Carolina","Jan 1985","seasonally adjusted","6.4"
"North Dakota","Jan 1985","seasonally adjusted","5.6"
"Ohio","Jan 1985","seasonally adjusted","8.9"
"Oklahoma","Jan 1985","seasonally adjusted","7.2"
"Oregon","Jan 1985","seasonally adjusted","9.4"
