"state","period","measure","unempl_rate"
"Illinois","Feb 1976","seasonally adjusted","6.8"
"Indiana","Feb 1976","seasonally adjusted","6.8"
"Iowa","Feb 1976","seasonally adjusted","4.3"
"Kansas","Feb 1976","seasonally adjusted","4.3"
"Kentucky","Feb 1976","seasonally adjusted","5.6"
"Louisiana","Feb 1976","seasonally adjusted","6.2"
"Maine","Feb 1976","seasonally adjusted","8.8"
"Maryland","Feb 1976","seasonally adjusted","6.4"
"Massachusetts","Feb 1976","seasonally adjusted","10.5"
"Michigan","Feb 1976","seasonally adjusted","10"
"Minnesota","Feb 1976","seasonally adjusted","6.1"
"Mississippi","Feb 1976","seasonally adjusted","6.8"
"Missouri","Feb 1976","seasonally adjusted","5.9"
"Montana","Feb 1976","seasonally adjusted","5.8"
"Nebraska","Feb 1976","seasonally adjusted","3.4"
"Nevada","Feb 1976","seasonally adjusted","9.1"
"New Hampshire","Feb 1976","seasonally adjusted","6.9"
"New Jersey","Feb 1976","seasonally adjusted","10.2"
"New Mexico","Feb 1976","seasonally adjusted","8.9"
"New York","Feb 1976","seasonally adjusted","10.3"
"North Carolina","Feb 1976","seasonally adjusted","6.6"
"North Dakota","Feb 1976","seasonally adjusted","3.2"
"Ohio","Feb 1976","seasonally adjusted","8.2"
"Oklahoma","Feb 1976","seasonally adjusted","6"
"Oregon","Feb 1976","seasonally adjusted","9.9"
"Pennsylvania","Feb 1976","seasonally adjusted","8.1"
"Rhode Island","Feb 1976","seasonally adjusted","8.2"
"South Carolina","Feb 1976","seasonally adjusted","7.7"
"South Dakota","Feb 1976","seasonally adjusted","3.2"
"Tennessee","Feb 1976","seasonally adjusted","6.1"
"Texas","Feb 1976","seasonally adjusted","5.9"
"Utah","Feb 1976","seasonally adjusted","5.9"
"Vermont","Feb 1976","seasonally adjusted","8.8"
"Virginia","Feb 1976","seasonally adjusted","5.9"
"Washington","Feb 1976","seasonally adjusted","8.7"
"West Virginia","Feb 1976","seasonally adjusted","7.9"
"Wisconsin","Feb 1976","seasonally adjusted","5.9"
"Wyoming","Feb 1976","seasonally adjusted","4.2"
"Alabama","Feb 1976","not seasonally adjusted","7.7"
"Alaska","Feb 1976","not seasonally adjusted","9.4"
"Arizona","Feb 1976","not seasonally adjusted","10.9"
"Arkansas","Feb 1976","not seasonally adjusted","8.5"
"California","Feb 1976","not seasonally adjusted","10"
"Colorado","Feb 1976","not seasonally adjusted","6.3"
"Connecticut","Feb 1976","not seasonally adjusted","10.6"
"Delaware","Feb 1976","not seasonally adjusted","8.2"
"District of Columbia","Feb 1976","not seasonally adjusted","9.5"
"Florida","Feb 1976","not seasonally adjusted","10"
"Georgia","Feb 1976","not seasonally adjusted","8.9"
"Hawaii","Feb 1976","not seasonally adjusted","10.1"
"Idaho","Feb 1976","not seasonally adjusted","7.3"
"Illinois","Feb 1976","not seasonally adjusted","7.5"
"Indiana","Feb 1976","not seasonally adjusted","7.6"
"Iowa","Feb 1976","not seasonally adjusted","5.2"
"Kansas","Feb 1976","not seasonally adjusted","4.7"
"Kentucky","Feb 1976","not seasonally adjusted","6.9"
"Louisiana","Feb 1976","not seasonally adjusted","6.3"
"Maine","Feb 1976","not seasonally adjusted","10.5"
"Maryland","Feb 1976","not seasonally adjusted","6.9"
"Massachusetts","Feb 1976","not seasonally adjusted","11.3"
"Michigan","Feb 1976","not seasonally adjusted","10.7"
"Minnesota","Feb 1976","not seasonally adjusted","7.2"
"Mississippi","Feb 1976","not seasonally adjusted","7"
"Missouri","Feb 1976","not seasonally adjusted","7.1"
"Montana","Feb 1976","not seasonally adjusted","7.2"
"Nebraska","Feb 1976","not seasonally adjusted","4.3"
"Nevada","Feb 1976","not seasonally adjusted","10"
"New Hampshire","Feb 1976","not seasonally adjusted","8"
"New Jersey","Feb 1976","not seasonally adjusted","10.8"
"New Mexico","Feb 1976","not seasonally adjusted","9.1"
"New York","Feb 1976","not seasonally adjusted","11.2"
"North Carolina","Feb 1976","not seasonally adjusted","7.5"
"North Dakota","Feb 1976","not seasonally adjusted","4.5"
"Ohio","Feb 1976","not seasonally adjusted","9.2"
