"name","state","party","period","year"
"Abdnor, Ellis James","SD","R",1981.1,1981
"Abdnor, Ellis James","SD","R",1981.2,1981
"Abdnor, Ellis James","SD","R",1981.3,1981
"Abdnor, Ellis James","SD","R",1981.4,1981
"Abdnor, Ellis James","SD","R",1982.1,1982
"Abdnor, Ellis James","SD","R",1982.2,1982
"Abdnor, Ellis James","SD","R",1982.3,1982
"Abdnor, Ellis James","SD","R",1982.4,1982
"Abdnor, Ellis James","SD","R",1983.1,1983
"Abdnor, Ellis James","SD","R",1983.2,1983
"Abdnor, Ellis James","SD","R",1983.3,1983
"Abdnor, Ellis James","SD","R",1983.4,1983
"Abdnor, Ellis James","SD","R",1984.1,1984
"Abdnor, Ellis James","SD","R",1984.2,1984
"Abdnor, Ellis James","SD","R",1984.3,1984
"Abdnor, Ellis James","SD","R",1984.4,1984
"Abdnor, Ellis James","SD","R",1985.1,1985
"Abdnor, Ellis James","SD","R",1985.2,1985
"Abdnor, Ellis James","SD","R",1985.3,1985
"Abdnor, Ellis James","SD","R",1985.4,1985
"Abdnor, Ellis James","SD","R",1986.1,1986
"Abdnor, Ellis James","SD","R",1986.2,1986
"Abdnor, Ellis James","SD","R",1986.3,1986
"Abdnor, Ellis James","SD","R",1986.4,1986
"Abourezk, James George","SD","D",1973.1,1973
"Abourezk, James George","SD","D",1973.2,1973
"Abourezk, James George","SD","D",1973.3,1973
"Abourezk, James George","SD","D",1973.4,1973
"Abourezk, James George","SD","D",1974.1,1974
"Abourezk, James George","SD","D",1974.2,1974
"Abourezk, James George","SD","D",1974.3,1974
"Abourezk, James George","SD","D",1974.4,1974
"Abourezk, James George","SD","D",1975.1,1975
"Abourezk, James George","SD","D",1975.2,1975
"Abourezk, James George","SD","D",1975.3,1975
"Abourezk, James George","SD","D",1975.4,1975
"Abourezk, James George","SD","D",1976.1,1976
"Abourezk, James George","SD","D",1976.2,1976
"Abourezk, James George","SD","D",1976.3,1976
"Abourezk, James George","SD","D",1976.4,1976
"Abourezk, James George","SD","D",1977.1,1977
"Abourezk, James George","SD","D",1977.2,1977
"Abourezk, James George","SD","D",1977.3,1977
"Abourezk, James George","SD","D",1977.4,1977
"Abourezk, James George","SD","D",1978.1,1978
"Abourezk, James George","SD","D",1978.2,1978
"Abourezk, James George","SD","D",1978.3,1978
"Abourezk, James George","SD","D",1978.4,1978
"Abraham, Edmund Spencer","MI","R",1995.1,1995
"Abraham, Edmund Spencer","MI","R",1995.2,1995
"Abraham, Edmund Spencer","MI","R",1995.3,1995
"Abraham, Edmund Spencer","MI","R",1995.4,1995
"Abraham, Edmund Spencer","MI","R",1996.1,1996
"Abraham, Edmund Spencer","MI","R",1996.2,1996
"Abraham, Edmund Spencer","MI","R",1996.3,1996
"Abraham, Edmund Spencer","MI","R",1996.4,1996
"Abraham, Edmund Spencer","MI","R",1997.1,1997
"Abraham, Edmund Spencer","MI","R",1997.2,1997
"Abraham, Edmund Spencer","MI","R",1997.3,1997
"Abraham, Edmund Spencer","MI","R",1997.4,1997
"Abraham, Edmund Spencer","MI","R",1998.1,1998
"Abraham, Edmund Spencer","MI","R",1998.2,1998
"Abraham, Edmund Spencer","MI","R",1998.3,1998
"Abraham, Edmund Spencer","MI","R",1998.4,1998
"Abraham, Edmund Spencer","MI","R",1999.1,1999
"Abraham, Edmund Spencer","MI","R",1999.2,1999
"Abraham, Edmund Spencer","MI","R",1999.3,1999
"Abraham, Edmund Spencer","MI","R",1999.4,1999
"Abraham, Edmund Spencer","MI","R",2000.1,2000
"Abraham, Edmund Spencer","MI","R",2000.2,2000
"Abraham, Edmund Spencer","MI","R",2000.3,2000
"Abraham, Edmund Spencer","MI","R",2000.4,2000
"Adams, Brockman","WA","D",1987.1,1987
"Adams, Brockman","WA","D",1987.2,1987
"Adams, Brockman","WA","D",1987.3,1987
"Adams, Brockman","WA","D",1987.4,1987
"Adams, Brockman","WA","D",1988.1,1988
"Adams, Brockman","WA","D",1988.2,1988
"Adams, Brockman","WA","D",1988.3,1988
"Adams, Brockman","WA","D",1988.4,1988
"Adams, Brockman","WA","D",1989.1,1989
"Adams, Brockman","WA","D",1989.2,1989
"Adams, Brockman","WA","D",1989.3,1989
"Adams, Brockman","WA","D",1989.4,1989
"Adams, Brockman","WA","D",1990.1,1990
"Adams, Brockman","WA","D",1990.2,1990
"Adams, Brockman","WA","D",1990.3,1990
"Adams, Brockman","WA","D",1990.4,1990
"Adams, Brockman","WA","D",1991.1,1991
"Adams, Brockman","WA","D",1991.2,1991
"Adams, Brockman","WA","D",1991.3,1991
"Adams, Brockman","WA","D",1991.4,1991
"Adams, Brockman","WA","D",1992.1,1992
"Adams, Brockman","WA","D",1992.2,1992
"Adams, Brockman","WA","D",1992.3,1992
"Adams, Brockman","WA","D",1992.4,1992
"Aiken, George David","VT","R",1941.1,1941
"Aiken, George David","VT","R",1941.2,1941
"Aiken, George David","VT","R",1941.3,1941
"Aiken, George David","VT","R",1941.4,1941
"Aiken, George David","VT","R",1942.1,1942
"Aiken, George David","VT","R",1942.2,1942
"Aiken, George David","VT","R",1942.3,1942
"Aiken, George David","VT","R",1942.4,1942
"Aiken, George David","VT","R",1943.1,1943
"Aiken, George David","VT","R",1943.2,1943
"Aiken, George David","VT","R",1943.3,1943
"Aiken, George David","VT","R",1943.4,1943
"Aiken, George David","VT","R",1944.1,1944
"Aiken, George David","VT","R",1944.2,1944
"Aiken, George David","VT","R",1944.3,1944
"Aiken, George David","VT","R",1944.4,1944
"Aiken, George David","VT","R",1945.1,1945
"Aiken, George David","VT","R",1945.2,1945
"Aiken, George David","VT","R",1945.3,1945
"Aiken, George David","VT","R",1945.4,1945
"Aiken, George David","VT","R",1946.1,1946
"Aiken, George David","VT","R",1946.2,1946
"Aiken, George David","VT","R",1946.3,1946
"Aiken, George David","VT","R",1946.4,1946
"Aiken, George David","VT","R",1947.1,1947
"Aiken, George David","VT","R",1947.2,1947
"Aiken, George David","VT","R",1947.3,1947
"Aiken, George David","VT","R",1947.4,1947
"Aiken, George David","VT","R",1948.1,1948
"Aiken, George David","VT","R",1948.2,1948
"Aiken, George David","VT","R",1948.3,1948
"Aiken, George David","VT","R",1948.4,1948
"Aiken, George David","VT","R",1949.1,1949
"Aiken, George David","VT","R",1949.2,1949
"Aiken, George David","VT","R",1949.3,1949
"Aiken, George David","VT","R",1949.4,1949
"Aiken, George David","VT","R",1950.1,1950
"Aiken, George David","VT","R",1950.2,1950
"Aiken, George David","VT","R",1950.3,1950
"Aiken, George David","VT","R",1950.4,1950
"Aiken, George David","VT","R",1951.1,1951
"Aiken, George David","VT","R",1951.2,1951
"Aiken, George David","VT","R",1951.3,1951
"Aiken, George David","VT","R",1951.4,1951
"Aiken, George David","VT","R",1952.1,1952
"Aiken, George David","VT","R",1952.2,1952
"Aiken, George David","VT","R",1952.3,1952
"Aiken, George David","VT","R",1952.4,1952
"Aiken, George David","VT","R",1953.1,1953
"Aiken, George David","VT","R",1953.2,1953
"Aiken, George David","VT","R",1953.3,1953
"Aiken, George David","VT","R",1953.4,1953
"Aiken, George David","VT","R",1954.1,1954
"Aiken, George David","VT","R",1954.2,1954
"Aiken, George David","VT","R",1954.3,1954
"Aiken, George David","VT","R",1954.4,1954
"Aiken, George David","VT","R",1955.1,1955
"Aiken, George David","VT","R",1955.2,1955
"Aiken, George David","VT","R",1955.3,1955
"Aiken, George David","VT","R",1955.4,1955
"Aiken, George David","VT","R",1956.1,1956
"Aiken, George David","VT","R",1956.2,1956
"Aiken, George David","VT","R",1956.3,1956
"Aiken, George David","VT","R",1956.4,1956
"Aiken, George David","VT","R",1957.1,1957
"Aiken, George David","VT","R",1957.2,1957
"Aiken, George David","VT","R",1957.3,1957
"Aiken, George David","VT","R",1957.4,1957
"Aiken, George David","VT","R",1958.1,1958
"Aiken, George David","VT","R",1958.2,1958
"Aiken, George David","VT","R",1958.3,1958
"Aiken, George David","VT","R",1958.4,1958
"Aiken, George David","VT","R",1959.1,1959
"Aiken, George David","VT","R",1959.2,1959
"Aiken, George David","VT","R",1959.3,1959
"Aiken, George David","VT","R",1959.4,1959
"Aiken, George David","VT","R",1960.1,1960
"Aiken, George David","VT","R",1960.2,1960
"Aiken, George David","VT","R",1960.3,1960
"Aiken, George David","VT","R",1960.4,1960
"Aiken, George David","VT","R",1961.1,1961
"Aiken, George David","VT","R",1961.2,1961
"Aiken, George David","VT","R",1961.3,1961
"Aiken, George David","VT","R",1961.4,1961
"Aiken, George David","VT","R",1962.1,1962
"Aiken, George David","VT","R",1962.2,1962
"Aiken, George David","VT","R",1962.3,1962
"Aiken, George David","VT","R",1962.4,1962
"Aiken, George David","VT","R",1963.1,1963
"Aiken, George David","VT","R",1963.2,1963
"Aiken, George David","VT","R",1963.3,1963
"Aiken, George David","VT","R",1963.4,1963
"Aiken, George David","VT","R",1964.1,1964
"Aiken, George David","VT","R",1964.2,1964
"Aiken, George David","VT","R",1964.3,1964
"Aiken, George David","VT","R",1964.4,1964
"Aiken, George David","VT","R",1965.1,1965
"Aiken, George David","VT","R",1965.2,1965
"Aiken, George David","VT","R",1965.3,1965
"Aiken, George David","VT","R",1965.4,1965
"Aiken, George David","VT","R",1966.1,1966
"Aiken, George David","VT","R",1966.2,1966
"Aiken, George David","VT","R",1966.3,1966
"Aiken, George David","VT","R",1966.4,1966
"Aiken, George David","VT","R",1967.1,1967
"Aiken, George David","VT","R",1967.2,1967
"Aiken, George David","VT","R",1967.3,1967
"Aiken, George David","VT","R",1967.4,1967
"Aiken, George David","VT","R",1968.1,1968
"Aiken, George David","VT","R",1968.2,1968
"Aiken, George David","VT","R",1968.3,1968
"Aiken, George David","VT","R",1968.4,1968
"Aiken, George David","VT","R",1969.1,1969
"Aiken, George David","VT","R",1969.2,1969
"Aiken, George David","VT","R",1969.3,1969
"Aiken, George David","VT","R",1969.4,1969
"Aiken, George David","VT","R",1970.1,1970
"Aiken, George David","VT","R",1970.2,1970
"Aiken, George David","VT","R",1970.3,1970
"Aiken, George David","VT","R",1970.4,1970
"Aiken, George David","VT","R",1971.1,1971
"Aiken, George David","VT","R",1971.2,1971
"Aiken, George David","VT","R",1971.3,1971
"Aiken, George David","VT","R",1971.4,1971
"Aiken, George David","VT","R",1972.1,1972
"Aiken, George David","VT","R",1972.2,1972
"Aiken, George David","VT","R",1972.3,1972
"Aiken, George David","VT","R",1972.4,1972
"Aiken, George David","VT","R",1973.1,1973
"Aiken, George David","VT","R",1973.2,1973
"Aiken, George David","VT","R",1973.3,1973
"Aiken, George David","VT","R",1973.4,1973
"Aiken, George David","VT","R",1974.1,1974
"Aiken, George David","VT","R",1974.2,1974
"Aiken, George David","VT","R",1974.3,1974
"Aiken, George David","VT","R",1974.4,1974
"Allard, Alan Wayne","CO","R",1997.1,1997
"Allard, Alan Wayne","CO","R",1997.2,1997
"Allard, Alan Wayne","CO","R",1997.3,1997
"Allard, Alan Wayne","CO","R",1997.4,1997
"Allard, Alan Wayne","CO","R",1998.1,1998
"Allard, Alan Wayne","CO","R",1998.2,1998
"Allard, Alan Wayne","CO","R",1998.3,1998
"Allard, Alan Wayne","CO","R",1998.4,1998
"Allard, Alan Wayne","CO","R",1999.1,1999
"Allard, Alan Wayne","CO","R",1999.2,1999
"Allard, Alan Wayne","CO","R",1999.3,1999
"Allard, Alan Wayne","CO","R",1999.4,1999
"Allard, Alan Wayne","CO","R",2000.1,2000
"Allard, Alan Wayne","CO","R",2000.2,2000
"Allard, Alan Wayne","CO","R",2000.3,2000
"Allard, Alan Wayne","CO","R",2000.4,2000
"Allard, Alan Wayne","CO","R",2001.1,2001
"Allard, Alan Wayne","CO","R",2001.2,2001
"Allard, Alan Wayne","CO","R",2001.3,2001
"Allard, Alan Wayne","CO","R",2001.4,2001
"Allard, Alan Wayne","CO","R",2002.1,2002
"Allard, Alan Wayne","CO","R",2002.2,2002
"Allard, Alan Wayne","CO","R",2002.3,2002
"Allard, Alan Wayne","CO","R",2002.4,2002
"Allard, Alan Wayne","CO","R",2003.1,2003
"Allard, Alan Wayne","CO","R",2003.2,2003
"Allard, Alan Wayne","CO","R",2003.3,2003
"Allard, Alan Wayne","CO","R",2003.4,2003
"Allard, Alan Wayne","CO","R",2004.1,2004
"Allard, Alan Wayne","CO","R",2004.2,2004
"Allard, Alan Wayne","CO","R",2004.3,2004
"Allard, Alan Wayne","CO","R",2004.4,2004
"Allard, Alan Wayne","CO","R",2005.1,2005
"Allard, Alan Wayne","CO","R",2005.2,2005
"Allard, Alan Wayne","CO","R",2005.3,2005
"Allard, Alan Wayne","CO","R",2005.4,2005
"Allard, Alan Wayne","CO","R",2006.1,2006
"Allard, Alan Wayne","CO","R",2006.2,2006
"Allard, Alan Wayne","CO","R",2006.3,2006
"Allard, Alan Wayne","CO","R",2006.4,2006
"Allard, Alan Wayne","CO","R",2007.1,2007
"Allard, Alan Wayne","CO","R",2007.2,2007
"Allard, Alan Wayne","CO","R",2007.3,2007
"Allard, Alan Wayne","CO","R",2007.4,2007
"Allard, Alan Wayne","CO","R",2008.1,2008
"Allard, Alan Wayne","CO","R",2008.2,2008
"Allard, Alan Wayne","CO","R",2008.3,2008
"Allard, Alan Wayne","CO","R",2008.4,2008
"Allen, George Felix","VA","R",2001.1,2001
"Allen, George Felix","VA","R",2001.2,2001
"Allen, George Felix","VA","R",2001.3,2001
"Allen, George Felix","VA","R",2001.4,2001
"Allen, George Felix","VA","R",2002.1,2002
"Allen, George Felix","VA","R",2002.2,2002
"Allen, George Felix","VA","R",2002.3,2002
"Allen, George Felix","VA","R",2002.4,2002
"Allen, George Felix","VA","R",2003.1,2003
"Allen, George Felix","VA","R",2003.2,2003
"Allen, George Felix","VA","R",2003.3,2003
"Allen, George Felix","VA","R",2003.4,2003
"Allen, George Felix","VA","R",2004.1,2004
"Allen, George Felix","VA","R",2004.2,2004
"Allen, George Felix","VA","R",2004.3,2004
"Allen, George Felix","VA","R",2004.4,2004
"Allen, George Felix","VA","R",2005.1,2005
"Allen, George Felix","VA","R",2005.2,2005
"Allen, George Felix","VA","R",2005.3,2005
"Allen, George Felix","VA","R",2005.4,2005
"Allen, George Felix","VA","R",2006.1,2006
"Allen, George Felix","VA","R",2006.2,2006
"Allen, George Felix","VA","R",2006.3,2006
"Allen, George Felix","VA","R",2006.4,2006
"Allen, James Browning","AL","D",1969.1,1969
"Allen, James Browning","AL","D",1969.2,1969
"Allen, James Browning","AL","D",1969.3,1969
"Allen, James Browning","AL","D",1969.4,1969
"Allen, James Browning","AL","D",1970.1,1970
"Allen, James Browning","AL","D",1970.2,1970
"Allen, James Browning","AL","D",1970.3,1970
"Allen, James Browning","AL","D",1970.4,1970
"Allen, James Browning","AL","D",1971.1,1971
"Allen, James Browning","AL","D",1971.2,1971
"Allen, James Browning","AL","D",1971.3,1971
"Allen, James Browning","AL","D",1971.4,1971
"Allen, James Browning","AL","D",1972.1,1972
"Allen, James Browning","AL","D",1972.2,1972
"Allen, James Browning","AL","D",1972.3,1972
"Allen, James Browning","AL","D",1972.4,1972
"Allen, James Browning","AL","D",1973.1,1973
"Allen, James Browning","AL","D",1973.2,1973
"Allen, James Browning","AL","D",1973.3,1973
"Allen, James Browning","AL","D",1973.4,1973
"Allen, James Browning","AL","D",1974.1,1974
"Allen, James Browning","AL","D",1974.2,1974
"Allen, James Browning","AL","D",1974.3,1974
"Allen, James Browning","AL","D",1974.4,1974
"Allen, James Browning","AL","D",1975.1,1975
"Allen, James Browning","AL","D",1975.2,1975
"Allen, James Browning","AL","D",1975.3,1975
"Allen, James Browning","AL","D",1975.4,1975
"Allen, James Browning","AL","D",1976.1,1976
"Allen, James Browning","AL","D",1976.2,1976
"Allen, James Browning","AL","D",1976.3,1976
"Allen, James Browning","AL","D",1976.4,1976
"Allen, James Browning","AL","D",1977.1,1977
"Allen, James Browning","AL","D",1977.2,1977
"Allen, James Browning","AL","D",1977.3,1977
"Allen, James Browning","AL","D",1977.4,1977
"Allen, James Browning","AL","D",1978.1,1978
"Allen, James Browning","AL","D",1978.2,1978
"Allen, Maryon Pittman","AL","D",1978.2,1978
"Allen, Maryon Pittman","AL","D",1978.3,1978
"Allott, Gordon Llewellyn","CO","R",1955.1,1955
"Allott, Gordon Llewellyn","CO","R",1955.2,1955
"Allott, Gordon Llewellyn","CO","R",1955.3,1955
"Allott, Gordon Llewellyn","CO","R",1955.4,1955
"Allott, Gordon Llewellyn","CO","R",1956.1,1956
"Allott, Gordon Llewellyn","CO","R",1956.2,1956
"Allott, Gordon Llewellyn","CO","R",1956.3,1956
"Allott, Gordon Llewellyn","CO","R",1956.4,1956
"Allott, Gordon Llewellyn","CO","R",1957.1,1957
"Allott, Gordon Llewellyn","CO","R",1957.2,1957
"Allott, Gordon Llewellyn","CO","R",1957.3,1957
"Allott, Gordon Llewellyn","CO","R",1957.4,1957
"Allott, Gordon Llewellyn","CO","R",1958.1,1958
"Allott, Gordon Llewellyn","CO","R",1958.2,1958
"Allott, Gordon Llewellyn","CO","R",1958.3,1958
"Allott, Gordon Llewellyn","CO","R",1958.4,1958
"Allott, Gordon Llewellyn","CO","R",1959.1,1959
"Allott, Gordon Llewellyn","CO","R",1959.2,1959
"Allott, Gordon Llewellyn","CO","R",1959.3,1959
"Allott, Gordon Llewellyn","CO","R",1959.4,1959
"Allott, Gordon Llewellyn","CO","R",1960.1,1960
"Allott, Gordon Llewellyn","CO","R",1960.2,1960
"Allott, Gordon Llewellyn","CO","R",1960.3,1960
"Allott, Gordon Llewellyn","CO","R",1960.4,1960
"Allott, Gordon Llewellyn","CO","R",1961.1,1961
"Allott, Gordon Llewellyn","CO","R",1961.2,1961
"Allott, Gordon Llewellyn","CO","R",1961.3,1961
"Allott, Gordon Llewellyn","CO","R",1961.4,1961
"Allott, Gordon Llewellyn","CO","R",1962.1,1962
"Allott, Gordon Llewellyn","CO","R",1962.2,1962
"Allott, Gordon Llewellyn","CO","R",1962.3,1962
"Allott, Gordon Llewellyn","CO","R",1962.4,1962
"Allott, Gordon Llewellyn","CO","R",1963.1,1963
"Allott, Gordon Llewellyn","CO","R",1963.2,1963
"Allott, Gordon Llewellyn","CO","R",1963.3,1963
"Allott, Gordon Llewellyn","CO","R",1963.4,1963
"Allott, Gordon Llewellyn","CO","R",1964.1,1964
"Allott, Gordon Llewellyn","CO","R",1964.2,1964
"Allott, Gordon Llewellyn","CO","R",1964.3,1964
"Allott, Gordon Llewellyn","CO","R",1964.4,1964
"Allott, Gordon Llewellyn","CO","R",1965.1,1965
"Allott, Gordon Llewellyn","CO","R",1965.2,1965
"Allott, Gordon Llewellyn","CO","R",1965.3,1965
"Allott, Gordon Llewellyn","CO","R",1965.4,1965
"Allott, Gordon Llewellyn","CO","R",1966.1,1966
"Allott, Gordon Llewellyn","CO","R",1966.2,1966
"Allott, Gordon Llewellyn","CO","R",1966.3,1966
"Allott, Gordon Llewellyn","CO","R",1966.4,1966
"Allott, Gordon Llewellyn","CO","R",1967.1,1967
"Allott, Gordon Llewellyn","CO","R",1967.2,1967
"Allott, Gordon Llewellyn","CO","R",1967.3,1967
"Allott, Gordon Llewellyn","CO","R",1967.4,1967
"Allott, Gordon Llewellyn","CO","R",1968.1,1968
"Allott, Gordon Llewellyn","CO","R",1968.2,1968
"Allott, Gordon Llewellyn","CO","R",1968.3,1968
"Allott, Gordon Llewellyn","CO","R",1968.4,1968
"Allott, Gordon Llewellyn","CO","R",1969.1,1969
"Allott, Gordon Llewellyn","CO","R",1969.2,1969
"Allott, Gordon Llewellyn","CO","R",1969.3,1969
"Allott, Gordon Llewellyn","CO","R",1969.4,1969
"Allott, Gordon Llewellyn","CO","R",1970.1,1970
"Allott, Gordon Llewellyn","CO","R",1970.2,1970
"Allott, Gordon Llewellyn","CO","R",1970.3,1970
"Allott, Gordon Llewellyn","CO","R",1970.4,1970
"Allott, Gordon Llewellyn","CO","R",1971.1,1971
"Allott, Gordon Llewellyn","CO","R",1971.2,1971
"Allott, Gordon Llewellyn","CO","R",1971.3,1971
"Allott, Gordon Llewellyn","CO","R",1971.4,1971
"Allott, Gordon Llewellyn","CO","R",1972.1,1972
"Allott, Gordon Llewellyn","CO","R",1972.2,1972
"Allott, Gordon Llewellyn","CO","R",1972.3,1972
"Allott, Gordon Llewellyn","CO","R",1972.4,1972
"Anderson, Clinton Presba","NM","D",1949.1,1949
"Anderson, Clinton Presba","NM","D",1949.2,1949
"Anderson, Clinton Presba","NM","D",1949.3,1949
"Anderson, Clinton Presba","NM","D",1949.4,1949
"Anderson, Clinton Presba","NM","D",1950.1,1950
"Anderson, Clinton Presba","NM","D",1950.2,1950
"Anderson, Clinton Presba","NM","D",1950.3,1950
"Anderson, Clinton Presba","NM","D",1950.4,1950
"Anderson, Clinton Presba","NM","D",1951.1,1951
"Anderson, Clinton Presba","NM","D",1951.2,1951
"Anderson, Clinton Presba","NM","D",1951.3,1951
"Anderson, Clinton Presba","NM","D",1951.4,1951
"Anderson, Clinton Presba","NM","D",1952.1,1952
"Anderson, Clinton Presba","NM","D",1952.2,1952
"Anderson, Clinton Presba","NM","D",1952.3,1952
"Anderson, Clinton Presba","NM","D",1952.4,1952
"Anderson, Clinton Presba","NM","D",1953.1,1953
"Anderson, Clinton Presba","NM","D",1953.2,1953
"Anderson, Clinton Presba","NM","D",1953.3,1953
"Anderson, Clinton Presba","NM","D",1953.4,1953
"Anderson, Clinton Presba","NM","D",1954.1,1954
"Anderson, Clinton Presba","NM","D",1954.2,1954
"Anderson, Clinton Presba","NM","D",1954.3,1954
"Anderson, Clinton Presba","NM","D",1954.4,1954
"Anderson, Clinton Presba","NM","D",1955.1,1955
"Anderson, Clinton Presba","NM","D",1955.2,1955
"Anderson, Clinton Presba","NM","D",1955.3,1955
"Anderson, Clinton Presba","NM","D",1955.4,1955
"Anderson, Clinton Presba","NM","D",1956.1,1956
"Anderson, Clinton Presba","NM","D",1956.2,1956
"Anderson, Clinton Presba","NM","D",1956.3,1956
"Anderson, Clinton Presba","NM","D",1956.4,1956
"Anderson, Clinton Presba","NM","D",1957.1,1957
"Anderson, Clinton Presba","NM","D",1957.2,1957
"Anderson, Clinton Presba","NM","D",1957.3,1957
"Anderson, Clinton Presba","NM","D",1957.4,1957
"Anderson, Clinton Presba","NM","D",1958.1,1958
"Anderson, Clinton Presba","NM","D",1958.2,1958
"Anderson, Clinton Presba","NM","D",1958.3,1958
"Anderson, Clinton Presba","NM","D",1958.4,1958
"Anderson, Clinton Presba","NM","D",1959.1,1959
"Anderson, Clinton Presba","NM","D",1959.2,1959
"Anderson, Clinton Presba","NM","D",1959.3,1959
"Anderson, Clinton Presba","NM","D",1959.4,1959
"Anderson, Clinton Presba","NM","D",1960.1,1960
"Anderson, Clinton Presba","NM","D",1960.2,1960
"Anderson, Clinton Presba","NM","D",1960.3,1960
"Anderson, Clinton Presba","NM","D",1960.4,1960
"Anderson, Clinton Presba","NM","D",1961.1,1961
"Anderson, Clinton Presba","NM","D",1961.2,1961
"Anderson, Clinton Presba","NM","D",1961.3,1961
"Anderson, Clinton Presba","NM","D",1961.4,1961
"Anderson, Clinton Presba","NM","D",1962.1,1962
"Anderson, Clinton Presba","NM","D",1962.2,1962
"Anderson, Clinton Presba","NM","D",1962.3,1962
"Anderson, Clinton Presba","NM","D",1962.4,1962
"Anderson, Clinton Presba","NM","D",1963.1,1963
"Anderson, Clinton Presba","NM","D",1963.2,1963
"Anderson, Clinton Presba","NM","D",1963.3,1963
"Anderson, Clinton Presba","NM","D",1963.4,1963
"Anderson, Clinton Presba","NM","D",1964.1,1964
"Anderson, Clinton Presba","NM","D",1964.2,1964
"Anderson, Clinton Presba","NM","D",1964.3,1964
"Anderson, Clinton Presba","NM","D",1964.4,1964
"Anderson, Clinton Presba","NM","D",1965.1,1965
"Anderson, Clinton Presba","NM","D",1965.2,1965
"Anderson, Clinton Presba","NM","D",1965.3,1965
"Anderson, Clinton Presba","NM","D",1965.4,1965
"Anderson, Clinton Presba","NM","D",1966.1,1966
"Anderson, Clinton Presba","NM","D",1966.2,1966
"Anderson, Clinton Presba","NM","D",1966.3,1966
"Anderson, Clinton Presba","NM","D",1966.4,1966
"Anderson, Clinton Presba","NM","D",1967.1,1967
"Anderson, Clinton Presba","NM","D",1967.2,1967
"Anderson, Clinton Presba","NM","D",1967.3,1967
"Anderson, Clinton Presba","NM","D",1967.4,1967
"Anderson, Clinton Presba","NM","D",1968.1,1968
"Anderson, Clinton Presba","NM","D",1968.2,1968
"Anderson, Clinton Presba","NM","D",1968.3,1968
"Anderson, Clinton Presba","NM","D",1968.4,1968
"Anderson, Clinton Presba","NM","D",1969.1,1969
"Anderson, Clinton Presba","NM","D",1969.2,1969
"Anderson, Clinton Presba","NM","D",1969.3,1969
"Anderson, Clinton Presba","NM","D",1969.4,1969
"Anderson, Clinton Presba","NM","D",1970.1,1970
"Anderson, Clinton Presba","NM","D",1970.2,1970
"Anderson, Clinton Presba","NM","D",1970.3,1970
"Anderson, Clinton Presba","NM","D",1970.4,1970
"Anderson, Clinton Presba","NM","D",1971.1,1971
"Anderson, Clinton Presba","NM","D",1971.2,1971
"Anderson, Clinton Presba","NM","D",1971.3,1971
"Anderson, Clinton Presba","NM","D",1971.4,1971
"Anderson, Clinton Presba","NM","D",1972.1,1972
"Anderson, Clinton Presba","NM","D",1972.2,1972
"Anderson, Clinton Presba","NM","D",1972.3,1972
"Anderson, Clinton Presba","NM","D",1972.4,1972
"Anderson, Wendell Richard","MN","D",1976.4,1976
"Anderson, Wendell Richard","MN","D",1977.1,1977
"Anderson, Wendell Richard","MN","D",1977.2,1977
"Anderson, Wendell Richard","MN","D",1977.3,1977
"Anderson, Wendell Richard","MN","D",1977.4,1977
"Anderson, Wendell Richard","MN","D",1978.1,1978
"Anderson, Wendell Richard","MN","D",1978.2,1978
"Anderson, Wendell Richard","MN","D",1978.3,1978
"Andrews, Mark","ND","R",1981.1,1981
"Andrews, Mark","ND","R",1981.2,1981
"Andrews, Mark","ND","R",1981.3,1981
"Andrews, Mark","ND","R",1981.4,1981
"Andrews, Mark","ND","R",1982.1,1982
"Andrews, Mark","ND","R",1982.2,1982
"Andrews, Mark","ND","R",1982.3,1982
"Andrews, Mark","ND","R",1982.4,1982
"Andrews, Mark","ND","R",1983.1,1983
"Andrews, Mark","ND","R",1983.2,1983
"Andrews, Mark","ND","R",1983.3,1983
"Andrews, Mark","ND","R",1983.4,1983
"Andrews, Mark","ND","R",1984.1,1984
"Andrews, Mark","ND","R",1984.2,1984
"Andrews, Mark","ND","R",1984.3,1984
"Andrews, Mark","ND","R",1984.4,1984
"Andrews, Mark","ND","R",1985.1,1985
"Andrews, Mark","ND","R",1985.2,1985
"Andrews, Mark","ND","R",1985.3,1985
"Andrews, Mark","ND","R",1985.4,1985
"Andrews, Mark","ND","R",1986.1,1986
"Andrews, Mark","ND","R",1986.2,1986
"Andrews, Mark","ND","R",1986.3,1986
"Andrews, Mark","ND","R",1986.4,1986
"Armstrong, William Lester","CO","R",1979.1,1979
"Armstrong, William Lester","CO","R",1979.2,1979
"Armstrong, William Lester","CO","R",1979.3,1979
"Armstrong, William Lester","CO","R",1979.4,1979
"Armstrong, William Lester","CO","R",1980.1,1980
"Armstrong, William Lester","CO","R",1980.2,1980
"Armstrong, William Lester","CO","R",1980.3,1980
"Armstrong, William Lester","CO","R",1980.4,1980
"Armstrong, William Lester","CO","R",1981.1,1981
"Armstrong, William Lester","CO","R",1981.2,1981
"Armstrong, William Lester","CO","R",1981.3,1981
"Armstrong, William Lester","CO","R",1981.4,1981
"Armstrong, William Lester","CO","R",1982.1,1982
"Armstrong, William Lester","CO","R",1982.2,1982
"Armstrong, William Lester","CO","R",1982.3,1982
"Armstrong, William Lester","CO","R",1982.4,1982
